Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,583.1007690429688,631.0,632.0,618.0,619.0,69089158
2022-01-04,606.202880859375,656.0,656.0,644.0,645.0,79434666
2022-01-05,600.6583862304688,650.0,669.0,646.0,669.0,69593809
2022-01-06,595.11376953125,644.0,646.0,636.0,638.0,53210211
2022-01-07,585.8729858398438,634.0,646.0,632.0,643.0,38249908
2022-01-10,594.1897583007812,643.0,645.0,627.0,628.0,38289770
2022-01-11,601.58251953125,651.0,651.0,639.0,646.0,33196585
2022-01-12,609.8993530273438,660.0,660.0,650.0,657.0,38860063
2022-01-13,610.823486328125,661.0,662.0,655.0,658.0,38137411
2022-01-14,620.98828125,672.0,673.0,661.0,673.0,95200777
2022-01-17,631.1533203125,683.0,688.0,678.0,685.0,59614236
2022-01-18,611.7474365234375,662.0,681.0,662.0,678.0,43593330
2022-01-19,604.3546752929688,654.0,660.0,651.0,652.0,40381333
2022-01-20,601.58251953125,651.0,657.0,646.0,650.0,46474584
2022-01-21,592.3414916992188,641.0,646.0,637.0,644.0,49577684
2022-01-24,603.4307250976562,653.0,655.0,637.0,639.0,47134502
2022-01-25,592.3414916992188,641.0,645.0,638.0,643.0,52318736
2022-01-26,587.7211303710938,636.0,641.0,635.0,635.0,29957189
2022-02-07,586.797119140625,635.0,644.0,631.0,644.0,56836469
2022-02-08,580.3284301757812,628.0,645.0,628.0,645.0,39718217
2022-02-09,584.948974609375,633.0,637.0,630.0,635.0,30048791
2022-02-10,599.7343139648438,649.0,649.0,637.0,639.0,34587133
2022-02-11,600.6583862304688,650.0,650.0,642.0,646.0,26723278
2022-02-14,588.6450805664062,637.0,641.0,635.0,640.0,27826382
2022-02-15,584.948974609375,633.0,639.0,633.0,633.0,21970460
2022-02-16,596.9620361328125,646.0,646.0,640.0,645.0,25191741
2022-02-17,596.0379638671875,645.0,646.0,641.0,644.0,18135080
2022-02-18,588.6450805664062,637.0,639.0,636.0,638.0,20804191
2022-02-21,584.0247802734375,632.0,636.0,632.0,633.0,23797502
2022-02-22,579.4043579101562,627.0,630.0,625.0,628.0,34086593
2022-02-23,577.5562133789062,625.0,629.0,623.0,624.0,31953054
2022-02-24,558.1502685546875,604.0,619.0,604.0,618.0,73663161
2022-02-25,558.1502685546875,604.0,609.0,600.0,600.0,89012516
2022-03-01,558.1502685546875,604.0,610.0,599.0,599.0,66720867
2022-03-02,555.3779907226562,601.0,605.0,600.0,601.0,40693457
