event_name,event_date,mechanism,twse_day0_ar,twse_car_1,twse_car_3,twse_car_7,tsmc_day0_ar,tsmc_car_1,tsmc_car_3,tsmc_car_7
China Warns Against Pelosi Taiwan Visit,2022-07-19,Risk,-3.281908814596457,-2.622545887234695,-0.897504529325488,-0.8800347382374785,-5.519727694487253,-6.059566978964003,-3.2508710569193022,-3.254456046823606
Pelosi Visit,2022-08-02,Risk,-1.4014975344401215,-3.7333176908507126,-4.31711138865043,-4.232817085372853,-2.2610838551581858,-4.436868906616542,-1.9645901069136436,0.2341829569712628
China Trade Restrictions After Pelosi Visit,2022-08-03,Risk,-2.38450005297115,-4.70611252438723,-3.0368491541422626,-7.672604022424167,-0.8166670275120413,-4.192705133531794,0.21663145927080008,-5.1246831106566475
PLA Military Exercises After Pelosi Visit,2022-08-04,Risk,-0.9201149369759576,-0.5384370833957708,-0.4984413475306204,-7.8001765218377095,-1.1149542508615662,2.1777033597128908,3.57280886422946,-4.189103167221986
BIS Advanced Semiconductor Export Controls,2022-10-07,Strategic_Importance,2.435084800104559,1.5394658677873485,-2.215159193519045,-5.088132934170508,3.1796841080104166,2.6464927460749013,0.18313999276991977,-5.499364746577596
TSMC Arizona US$40B Expansion,2022-12-06,Strategic_Importance,0.32101408100253526,2.161513312447516,2.9256790438005775,4.998294650963686,0.10693345962590195,-0.023210661270867128,2.0584177199619913,1.984751758656766
Joint Sword 2023,2023-04-08,Risk,0.44342304493508733,1.8501769572766502,-1.812136265803066,-3.7277913285938657,-1.9856871860108982,1.9916077039364928,-1.3544001214828687,-1.4164216030443826
Lai U.S. Transit,2023-08-12,Risk,-2.301982795792634,-0.3114556563011406,1.998519275291244,0.21758436044926333,-3.786670405925574,-0.515781931818482,4.968524807863894,3.9643048629588673
PLA Drills After Lai U.S. Transit,2023-08-19,Risk,-1.554934973168809,-1.8968217186579595,3.0950952431493706,-3.0848496431322925,-3.2011862638750777,-2.922818207782363,5.9458251742882435,-0.8980872311408206
China Sends Aircraft and Vessels After U.S. Arms Sale,2023-08-26,Risk,-0.6743968898945019,-4.388517375555212,-2.6758638423265313,-1.0127978687342942,-0.6583424510854252,-6.307535430418931,-2.530127751472444,-2.958076435768764
TSMC CHIPS Act Preliminary Terms,2024-04-08,Strategic_Importance,0.5382212882568349,1.2098620644590108,2.5893415509160245,4.594848473071799,1.9775564120702582,4.029301795515572,6.466661870997314,9.596688890125947
Lai Ching-te Inauguration,2024-05-20,Risk,-0.5907292457206115,-1.1204505225372308,1.5701778906536124,0.5451120950731636,-2.153916253683774,-1.147461024019103,1.446809174983943,-3.319775662718727
Joint Sword-2024A,2024-05-23,Risk,0.6478842810802354,1.017423576775589,0.4984819984877764,-0.42587146394420516,1.2893390761426038,0.2249257670822069,-2.056386932641241,-3.4690060194517036
PRC Judicial Guidelines on Taiwan Independence,2024-06-21,Risk,-0.47056122605776407,2.3647430055394714,1.5092899885438382,-0.49096666933762245,0.15266316176129058,6.7956650675915276,6.7279491043337085,4.080894374225097
Joint Sword-2024B,2024-10-14,Risk,-0.549321448913509,2.63044690471953,-0.9402378373417619,1.3898462941092538,-1.8041810925232937,8.05862844511699,2.7033352303980744,7.561011451881205
PLA Joint Combat Readiness Patrols Around Taiwan,2025-01-22,Risk,-0.31096553352008005,-0.7450691050390756,1.9372879260972309,-0.9061178847127538,-0.3487321171263824,2.5846437244838585,5.020660419310995,1.7359606827912701
TSMC US$165B U.S. Expansion,2025-03-04,Strategic_Importance,-0.34595186587252913,-0.8328437467131744,1.3076998041289478,7.39108831999442,-2.597664996405913,-2.235256955822651,0.26031581290353323,4.935324270646458
Strait Thunder-2025A,2025-04-01,Risk,1.9525521982805438,-2.890523952154833,-2.849481413485777,-8.970851258247082,3.454564126129056,-1.72524855267574,4.733078427676007,-0.9472998400759445
